   24  32  32  32  33  33  33  32  33  24  33  32  32  32  25  32  32  32  32  33  33  32  32  32  33  32  25  33  33  31  27
   390  399  400  400  399  399  400  400  401  391  399  399  401  400  392  398  399  400  400  400  398  398  398  400  401  400  392  400  399  398  29
   16   16
   24  31  32  32  33  33  33  32  33  24  33  32  32  32  25  32  32  32  32  33  32  32  32  32  32  32  25  33  32  31  27
   389  398  399  399  398  398  399  399  400  390  398  398  400  399  391  397  398  399  399  399  397  397  397  399  400  399  391  399  398  397  29
   17   17
   24  30  30  31  32  32  31  31  30  24  32  31  31  31  24  32  31  31  28  31  32  31  32  32  31  32  24  32  32  30  26
   393  402  401  401  401  401  403  402  403  393  401  402  403  403  393  399  400  402  402  402  399  400  401  403  403  402  395  403  401  400  30
   18   18
   23  30  30  31  31  31  31  30  31  23  31  30  30  30  23  30  30  30  30  31  31  30  31  31  31  31  23  31  31  29  26
   389  398  398  398  398  397  399  399  399  389  397  398  400  399  390  396  397  399  399  399  396  396  397  398  399  398  390  399  397  396  31
   19   19
   23  28  31  32  32  32  32  29  31  24  32  31  29  29  24  31  31  31  29  30  32  31  31  32  30  31  24  32  32  29  26
   390  400  400  399  399  399  400  401  401  391  399  399  402  401  392  397  399  400  401  401  398  398  398  400  402  399  392  400  398  398  31
   20   20
   23  31  31  31  32  32  32  31  32  23  32  31  31  31  24  31  31  31  31  32  32  31  32  31  31  31  24  32  32  30  27
   390  399  399  399  399  399  400  400  401  391  399  399  401  400  392  397  398  400  400  400  398  398  398  400  401  399  392  400  399  398  29
   21   21
   22  29  29  30  30  30  30  29  30  22  30  30  30  29  22  29  29  29  29  30  30  29  30  30  30  30  22  30  30  28  26
   390  399  399  399  399  398  400  400  400  391  399  399  401  400  392  397  398  399  400  400  398  398  398  399  400  399  392  400  399  398  28
   22   22
   21  29  28  29  29  29  30  28  29  21  29  29  30  28  21  29  28  29  29  29  29  28  29  29  29  29  21  29  29  27  27
   389  398  398  398  397  397  398  399  399  389  397  398  400  399  390  396  397  398  398  399  396  396  397  398  399  398  390  398  397  396  30
   23   23
   21  28  28  28  28  28  29  28  28  20  28  28  29  28  20  28  28  28  28  29  28  28  28  29  28  28  20  29  29  27  27
   387  396  397  397  396  396  397  397  398  388  396  396  398  397  390  395  396  396  397  397  395  395  395  397  398  397  389  397  396  395  29
   24   24
